country,holiday_date,day_of_week,holiday,not_national_holiday,notes
��land,2014-05-01T00:00:00,Thu,Vappu (May Day),false,
��land,2014-05-29T00:00:00,Thu,Ascension Day,false,
��land,2014-06-08T00:00:00,Sun,Whit Sunday (Pentecost),false,
��land,2014-06-09T00:00:00,Mon,Sj��lvstyrelsedagen (��land Self-Governing Day),false,
��land,2014-06-20T00:00:00,Fri,Midsummer's Eve,true,Bnk+Othr
��land,2014-06-21T00:00:00,Sat,Midsummer's Day,false,
��land,2014-11-01T00:00:00,Sat,All Saints' Day,false,
��land,2014-12-06T00:00:00,Sat,Independence Day,false,
��land,2014-12-24T00:00:00,Wed,Christmas Eve,true,Bnk+Othr
��land,2014-12-25T00:00:00,Thu,Christmas Day,false,
��land,2014-12-26T00:00:00,Fri,Second Day of Christmas,false,
��land,2015-01-01T00:00:00,Thu,New Year's  Day,false,
��land,2015-01-06T00:00:00,Tue,Epiphany,false,
��land,2015-04-03T00:00:00,Fri,Good Friday,false,
��land,2015-04-05T00:00:00,Sun,Easter,false,
��land,2015-04-06T00:00:00,Mon,Easter Monday,false,
Abkhazia,2014-05-09T00:00:00,Fri,Victory Day,false,
Abkhazia,2014-07-23T00:00:00,Wed,Flag Day,false,
Abkhazia,2014-09-30T00:00:00,Tue,Day of Liberation of the Republic of Abkhazia,false,
Abkhazia,2014-10-04T00:00:00,Sat,Kurbannyhua / Eil al-Adha (Feast of Sacrifice),false,
Abkhazia,2014-10-11T00:00:00,Sat,Armed Forces Day,false,
Abkhazia,2014-11-26T00:00:00,Wed,Constitution Day of the Republic of Abkhazia,false,
Abkhazia,2015-01-01T00:00:00,Thu,New Year,false,
Abkhazia,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Abkhazia,2015-01-07T00:00:00,Wed,Orthodox Christmas,false,
Abkhazia,2015-01-14T00:00:00,Wed,Azhirnikhua (Day of world creation),false,
Abkhazia,2015-03-08T00:00:00,Sun,International Women's Day,false,
Afghanistan,2014-05-01T00:00:00,Thu,International Workers' Day,false,
Afghanistan,2014-06-28T00:00:00,Sat,Start of Ramadan (Awal Ramadan),false,
Afghanistan,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Afghanistan,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Afghanistan,2014-07-30T00:00:00,Wed,Eid al Fitr Holiday,false,
Afghanistan,2014-08-19T00:00:00,Tue,Independence Day (Jeshen),false,
Afghanistan,2014-10-03T00:00:00,Fri,Arafat Day,false,
Afghanistan,2014-10-04T00:00:00,Sat,Eid al Adha (Feast of Sacrifice),false,
Afghanistan,2014-10-05T00:00:00,Sun,Eid al Adha Holiday,false,
Afghanistan,2014-10-06T00:00:00,Mon,Eid al Adha Holiday,false,
Afghanistan,2014-11-03T00:00:00,Mon,Ashura,false,
Afghanistan,2015-01-03T00:00:00,Sat,The Prophet's Birthday (Mawleed al-Nabi),false,
Afghanistan,2015-02-15T00:00:00,Sun,Liberation Day,false,
Afghanistan,2015-03-21T00:00:00,Sat,Nauruz (Afghan New Year),false,
Afghanistan,2015-04-28T00:00:00,Tue,Victory Day,false,
Albania,2014-05-01T00:00:00,Thu,International Labor Day (Dita Nd��rkomb��tare e Pun��s),false,
Albania,2014-07-28T00:00:00,Mon,Lesser Bajram / End of Ramadan (Bajramit t�� Madh),false,
Albania,2014-10-04T00:00:00,Sat,Greater Bajram / Feast of Sacrifice (Kurban Bajramit),false,
Albania,2014-10-19T00:00:00,Sun,Mother Theresa Day (Dita e Lumturimit t�� N��n�� Terez��s),false,
Albania,2014-11-28T00:00:00,Fri,Independence Day (Dita e Pavar��sis��),false,
Albania,2014-11-29T00:00:00,Sat,Liberation Day (Dita e ��lirimit),false,
Albania,2014-12-08T00:00:00,Mon,National Youth Day (Dita Komb��tare e Rinis��),false,
Albania,2014-12-25T00:00:00,Thu,Christmas Day (Krishtlindja),false,
Albania,2015-01-01T00:00:00,Thu,New Year's Day (Dita e Vitit t�� Ri),false,
Albania,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Albania,2015-03-14T00:00:00,Sat,Summer Day (Dita e Ver��s),false,
Albania,2015-03-22T00:00:00,Sun,Nevruz (Dita e Nevruzit),false,
Albania,2015-04-05T00:00:00,Sun,Catholic Easter (Pashk��s Katolike),false,
Albania,2015-04-12T00:00:00,Sun,Orthodox Easter (Pashk��s Ortodokse),false,
Algeria,2014-05-01T00:00:00,Thu,Labour Day,false,
Algeria,2014-07-05T00:00:00,Sat,Independence Day,false,
Algeria,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Algeria,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Algeria,2014-10-04T00:00:00,Sat,Eid al Adha (Feast of Sacrifice),false,
Algeria,2014-10-05T00:00:00,Sun,Eid al Adha Holiday,false,
Algeria,2014-10-25T00:00:00,Sat,Awal Mouharem (Islamic New Year),false,
Algeria,2014-11-01T00:00:00,Sat,Revolution Day,false,
Algeria,2014-11-03T00:00:00,Mon,Achoura (Ashura),false,
Algeria,2015-01-01T00:00:00,Thu,New Year's Day,false,
Algeria,2015-01-03T00:00:00,Sat,Mawlid En Nabaoui Echarif (The Prophet's Birthday),false,
American Samoa,2014-05-26T00:00:00,Mon,Memorial Day,false,
American Samoa,2014-07-04T00:00:00,Fri,Independence Day,false,
American Samoa,2014-07-16T00:00:00,Wed,Manu'a Cession Day,true,Government
American Samoa,2014-09-01T00:00:00,Mon,Labor Day,false,
American Samoa,2014-10-12T00:00:00,Sun,White Sunday,true,Christian
American Samoa,2014-10-13T00:00:00,Mon,Columbus Day,false,
American Samoa,2014-11-11T00:00:00,Tue,Veterans' Day,false,
American Samoa,2014-11-27T00:00:00,Thu,Thanksgiving Day,false,
American Samoa,2014-12-25T00:00:00,Thu,Christmas Day,false,
American Samoa,2015-01-01T00:00:00,Thu,New Year's Day,false,
American Samoa,2015-01-19T00:00:00,Mon,Martin Luther King Jr Day,false,
American Samoa,2015-02-16T00:00:00,Mon,Presidents' Day,false,
American Samoa,2015-04-03T00:00:00,Fri,Good Friday,false,
American Samoa,2015-04-17T00:00:00,Fri,American Samoa Flag Day,false,
Andorra,2014-05-01T00:00:00,Thu,Labour Day,false,
Andorra,2014-05-29T00:00:00,Thu,Ascension,true,Banks
Andorra,2014-06-09T00:00:00,Mon,Whit Monday,false,
Andorra,2014-06-24T00:00:00,Tue,Saint John The Baptist Day,true,Banks
Andorra,2014-08-02T00:00:00,Sat,Andorra La Vella Festival,true,Regional
Andorra,2014-08-03T00:00:00,Sun,Andorra La Vella Festival,true,Regional
Andorra,2014-08-04T00:00:00,Mon,Andorra La Vella Festival,true,Regional
Andorra,2014-08-15T00:00:00,Fri,Assumption,false,
Andorra,2014-09-08T00:00:00,Mon,Meritxell Day (National Day),false,
Andorra,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Andorra,2014-11-04T00:00:00,Tue,Saint Charles' Day,true,Banks
Andorra,2014-12-08T00:00:00,Mon,Immaculate Conception Day,false,
Andorra,2014-12-24T00:00:00,Wed,Christmas Eve,true,Banks
Andorra,2014-12-25T00:00:00,Thu,Christmas Day,false,
Andorra,2014-12-26T00:00:00,Fri,Saint Stephen's Day,false,
Andorra,2014-12-31T00:00:00,Wed,New Year's Eve,true,Banks
Andorra,2015-01-01T00:00:00,Thu,New Year's Day,false,
Andorra,2015-01-06T00:00:00,Tue,Epiphany,false,
Andorra,2015-02-16T00:00:00,Mon,Carnival,false,
Andorra,2015-04-02T00:00:00,Thu,Maundy Thursday,true,Bnk+Aft
Andorra,2015-04-03T00:00:00,Fri,Good Friday,false,
Andorra,2015-04-06T00:00:00,Mon,Easter Monday,false,
Angola,2014-05-01T00:00:00,Thu,Labour Day,false,
Angola,2014-09-17T00:00:00,Wed,National Heroes' Day,false,
Angola,2014-11-02T00:00:00,Sun,All Souls' Day,false,
Angola,2014-11-03T00:00:00,Mon,All Souls' Day Holiday,false,
Angola,2014-11-11T00:00:00,Tue,Independence Day,false,
Angola,2014-12-25T00:00:00,Thu,Christmas and Family Day,false,
Angola,2015-01-01T00:00:00,Thu,New Year's Day,false,
Angola,2015-01-25T00:00:00,Sun,Luanda City Day,true,Regional
Angola,2015-01-26T00:00:00,Mon,Luanda City Day Holiday,true,Regional
Angola,2015-02-04T00:00:00,Wed,Liberation Day,false,
Angola,2015-02-17T00:00:00,Tue,Carnival,false,
Angola,2015-03-08T00:00:00,Sun,International Women's Day,false,
Angola,2015-03-09T00:00:00,Mon,International Women's Day Holiday,false,
Angola,2015-04-03T00:00:00,Fri,Good Friday,false,
Angola,2015-04-04T00:00:00,Sat,Angolan Peace Day,false,
Anguilla,2014-05-01T00:00:00,Thu,Labour Day,false,
Anguilla,2014-05-30T00:00:00,Fri,Anguilla Day,false,
Anguilla,2014-06-09T00:00:00,Mon,Whit Monday,false,
Anguilla,2014-06-16T00:00:00,Mon,Celebration of the Birthday of Her Majesty the Queen,false,
Anguilla,2014-08-04T00:00:00,Mon,August Monday (Start of Carnival),false,
Anguilla,2014-08-07T00:00:00,Thu,August Thursday,false,
Anguilla,2014-08-08T00:00:00,Fri,Constitution Day,false,
Anguilla,2014-12-19T00:00:00,Fri,National Heroes and Heroines Day,false,
Anguilla,2014-12-25T00:00:00,Thu,Christmas Day,false,
Anguilla,2014-12-26T00:00:00,Fri,Boxing Day,false,
Anguilla,2015-01-01T00:00:00,Thu,New Year's Day,false,
Anguilla,2015-03-02T00:00:00,Mon,James Ronald Webster's Birthday,false,
Anguilla,2015-04-03T00:00:00,Fri,Good Friday,false,
Anguilla,2015-04-06T00:00:00,Mon,Easter Monday,false,
Antigua and Barbuda,2014-05-05T00:00:00,Mon,Labour Day Holiday,false,
Antigua and Barbuda,2014-06-09T00:00:00,Mon,Whit Monday,false,
Antigua and Barbuda,2014-08-04T00:00:00,Mon,Carnival Monday (J'ouvert),false,
Antigua and Barbuda,2014-08-05T00:00:00,Tue,Carnival Tuesday (Last Lap Jump up),false,
Antigua and Barbuda,2014-11-01T00:00:00,Sat,Independence Day,false,
Antigua and Barbuda,2014-11-03T00:00:00,Mon,Independence Day (day in lieu),false,
Antigua and Barbuda,2014-12-09T00:00:00,Tue,National Heroes Day,false,
Antigua and Barbuda,2014-12-25T00:00:00,Thu,Christmas Day,false,
Antigua and Barbuda,2014-12-26T00:00:00,Fri,Boxing Day,false,
Antigua and Barbuda,2015-01-01T00:00:00,Thu,New Year's Day,false,
Antigua and Barbuda,2015-04-03T00:00:00,Fri,Good Friday,false,
Antigua and Barbuda,2015-04-06T00:00:00,Mon,Easter Monday,false,
Argentina,2014-05-01T00:00:00,Thu,Labor Day,false,
Argentina,2014-05-02T00:00:00,Fri,Public Holiday (d��a feriado con fines tur��sticos),false,
Argentina,2014-05-25T00:00:00,Sun,First Government Day (D��a de la Revoluci��n de Mayo),false,
Argentina,2014-06-20T00:00:00,Fri,Anniversary of General D. Manuel Belgrano's Death,false,
Argentina,2014-07-09T00:00:00,Wed,Independence Day,false,
Argentina,2014-08-18T00:00:00,Mon,General Jos�� de San Mart��n Holiday,false,
Argentina,2014-10-13T00:00:00,Mon,D��a del Respeto a la Diversidad Cultural,false,
Argentina,2014-11-06T00:00:00,Thu,D��a del Trabajador Bancario (Buenos Aires),true,Mun+Bnk
Argentina,2014-11-24T00:00:00,Mon,D��a de la Soberan��a Nacional,false,
Argentina,2014-12-08T00:00:00,Mon,Immaculate Conception Day,false,
Argentina,2014-12-24T00:00:00,Wed,Christmas Eve (afternoon),true,Bnk+Gov+Aft
Argentina,2014-12-25T00:00:00,Thu,Christmas Day,false,
Argentina,2014-12-26T00:00:00,Fri,Public Holiday (d��a feriado con fines tur��sticos),false,
Argentina,2014-12-31T00:00:00,Wed,New Year's Eve (afternoon),true,Bnk+Gov+Aft
Argentina,2015-01-01T00:00:00,Thu,New Year's Day,false,
Argentina,2015-02-16T00:00:00,Mon,Lunes de Carnaval,false,
Argentina,2015-02-17T00:00:00,Tue,Martes de Carnaval,false,
Argentina,2015-03-23T00:00:00,Mon,Public Holiday (d��a feriado con fines tur��sticos),false,
Argentina,2015-03-24T00:00:00,Tue,Truth and Justice Day,false,
Argentina,2015-04-02T00:00:00,Thu,Maundy Thursday,true,Government
Argentina,2015-04-02T00:00:00,Thu,Malvinas Day,false,
Argentina,2015-04-03T00:00:00,Fri,Good Friday,false,
Armenia,2014-05-01T00:00:00,Thu,Labour Day,false,
Armenia,2014-05-02T00:00:00,Fri,Public Holiday (workday moved to Sat. May 31),false,
Armenia,2014-05-09T00:00:00,Fri,Victory and Peace Day,false,
Armenia,2014-05-28T00:00:00,Wed,1st Republic Day,false,
Armenia,2014-07-05T00:00:00,Sat,Constitution Day,false,
Armenia,2014-07-28T00:00:00,Mon,Vardavar / Transfiguration Holiday (workday moved to Sat. Aug. 2),false,
Armenia,2014-08-18T00:00:00,Mon,Dormition Holiday (workday moved to Sat. Aug. 23),false,
Armenia,2014-09-15T00:00:00,Mon,Exhaltation of the Cross Holiday (workday moved to Sat. Sept. 20),false,
Armenia,2014-09-21T00:00:00,Sun,Independence Day,false,
Armenia,2014-12-31T00:00:00,Wed,New Year's Eve,false,
Armenia,2015-01-01T00:00:00,Thu,New Year's Day (Amanor),false,
Armenia,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Armenia,2015-01-03T00:00:00,Sat,New Year Holiday,false,
Armenia,2015-01-04T00:00:00,Sun,New Year Holiday,false,
Armenia,2015-01-05T00:00:00,Mon,Armenian Christmas Eve,false,
Armenia,2015-01-06T00:00:00,Tue,Armenian Christmas (Surb Tsnund),false,
Armenia,2015-01-07T00:00:00,Wed,Christmas Holiday,false,
Armenia,2015-01-28T00:00:00,Wed,National Army Day,false,
Armenia,2015-03-08T00:00:00,Sun,International Women's Day,false,
Armenia,2015-04-06T00:00:00,Mon,Easter Holiday (tentative),true,
Armenia,2015-04-24T00:00:00,Fri,Armenian Remembrance Day,false,
Aruba,2014-05-01T00:00:00,Thu,Labour Day,false,
Aruba,2014-05-29T00:00:00,Thu,Ascension Day,false,
Aruba,2014-12-25T00:00:00,Thu,Christmas Day,false,
Aruba,2014-12-26T00:00:00,Fri,Boxing Day,false,
Aruba,2015-01-01T00:00:00,Thu,New Year's Day,false,
Aruba,2015-01-25T00:00:00,Sun,G.F. Betico Croes Day,false,
Aruba,2015-02-16T00:00:00,Mon,Carnival Monday,false,
Aruba,2015-03-18T00:00:00,Wed,National Anthem and Flag Day,false,
Aruba,2015-04-03T00:00:00,Fri,Good Friday,false,
Aruba,2015-04-06T00:00:00,Mon,Easter Monday,false,
Aruba,2015-04-27T00:00:00,Mon,King's Birthday,false,
Ascension Island,2014-05-02T00:00:00,Fri,Ratting Day (Tristan da Cunha),true,Regional
Ascension Island,2014-05-21T00:00:00,Wed,Saint Helena Day,false,
Ascension Island,2014-05-29T00:00:00,Thu,Ascension Day (Ascension Island/Tristan da Cunha),true,Regional
Ascension Island,2014-06-09T00:00:00,Mon,Whit Monday,false,
Ascension Island,2014-08-14T00:00:00,Thu,Anniversary Day (Tristan da Cunha),true,Regional
Ascension Island,2014-08-25T00:00:00,Mon,August Bank Holiday (except Tristan da Cunha),false,
Ascension Island,2014-12-25T00:00:00,Thu,Christmas Day,false,
Ascension Island,2014-12-26T00:00:00,Fri,Boxing Day,false,
Ascension Island,2015-01-01T00:00:00,Thu,New Year's Day,false,
Ascension Island,2015-04-03T00:00:00,Fri,Good Friday,false,
Ascension Island,2015-04-06T00:00:00,Mon,Easter Monday,false,
Ascension Island,2015-04-20T00:00:00,Mon,HM Queen's Birthday (except Tristan da Cunha),false,
Australia,2014-05-05T00:00:00,Mon,Labour Day/May Day (NT),true,Regional
Australia,2014-06-02T00:00:00,Mon,Western Australia Day (WA),true,Regional
Australia,2014-06-09T00:00:00,Mon,Queen's Birthday (except WA),false,
Australia,2014-08-04T00:00:00,Mon,August Bank Holiday (NSW),true,Reg+Bnk
Australia,2014-08-04T00:00:00,Mon,Picnic Day (NT),true,Regional
Australia,2014-09-29T00:00:00,Mon,Family and Community Day (ACT),true,Regional
Australia,2014-09-29T00:00:00,Mon,Queen's Birthday (WA),true,Regional
Australia,2014-10-06T00:00:00,Mon,Labour Day (ACT NSW QLD SA),true,Regional
Australia,2014-11-04T00:00:00,Tue,Melbourne Cup Day (VIC),true,Regional
Australia,2014-11-14T00:00:00,Fri,Public Holiday (G20 Leaders Summit) (Brisbane),true,Mun+Reg
Australia,2014-12-25T00:00:00,Thu,Christmas Day,false,
Australia,2014-12-26T00:00:00,Fri,Boxing Day / Proclamation Day,false,
Australia,2015-01-01T00:00:00,Thu,New Year's Day,false,
Australia,2015-01-26T00:00:00,Mon,Australia Day (National Day),false,
Australia,2015-03-02T00:00:00,Mon,Labour Day (WA),true,Regional
Australia,2015-03-09T00:00:00,Mon,Adelaide Cup Day (SA),true,Regional
Australia,2015-03-09T00:00:00,Mon,Labour Day (VIC),true,Regional
Australia,2015-03-09T00:00:00,Mon,Canberra Day (ACT),true,Regional
Australia,2015-03-09T00:00:00,Mon,Eight Hours Day (TAS),true,Regional
Australia,2015-04-03T00:00:00,Fri,Good Friday,false,
Australia,2015-04-04T00:00:00,Sat,Holy Saturday (except TAS),false,
Australia,2015-04-05T00:00:00,Sun,Easter Sunday (NSW),true,Regional
Australia,2015-04-06T00:00:00,Mon,Easter Monday,false,
Australia,2015-04-07T00:00:00,Tue,Easter Tuesday (TAS),true,Reg+Bnk+Gov
Australia,2015-04-25T00:00:00,Sat,ANZAC Day,false,
Australia,2015-04-27T00:00:00,Mon,ANZAC Day Holiday (WA),true,Regional
Austria,2014-05-01T00:00:00,Thu,Labour Day (Staatsfeiertag),false,
Austria,2014-05-04T00:00:00,Sun,Saint Florian (O��),true,Reg+Gov+Sch
Austria,2014-05-29T00:00:00,Thu,Ascension Day,false,
Austria,2014-06-09T00:00:00,Mon,Whit Monday,false,
Austria,2014-06-19T00:00:00,Thu,Corpus Christi Day,false,
Austria,2014-08-15T00:00:00,Fri,Assumption Day,false,
Austria,2014-09-24T00:00:00,Wed,Saint Rupert (S),true,Reg+Gov+Sch
Austria,2014-10-10T00:00:00,Fri,Referendum Day (Tag der Volksabstimmung) (K),true,Reg+Gov+Sch
Austria,2014-10-26T00:00:00,Sun,National Day,false,
Austria,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Austria,2014-11-11T00:00:00,Tue,Saint Martin (B),true,Reg+Gov+Sch
Austria,2014-11-15T00:00:00,Sat,Saint Leopold (N�� W),true,Reg+Gov+Sch
Austria,2014-12-08T00:00:00,Mon,Immaculate Conception Day,false,
Austria,2014-12-24T00:00:00,Wed,Christmas Eve (Weihnachten),true,Banks
Austria,2014-12-25T00:00:00,Thu,Christmas Day (Christtag),false,
Austria,2014-12-26T00:00:00,Fri,Saint Stephen's Day (Stefanitag),false,
Austria,2015-01-01T00:00:00,Thu,New Year's Day,false,
Austria,2015-01-06T00:00:00,Tue,Epiphany,false,
Austria,2015-03-19T00:00:00,Thu,Saint Joseph (K ST T V),true,Reg+Gov+Sch
Austria,2015-04-03T00:00:00,Fri,Good Friday,true,Bnk+Chr
Austria,2015-04-06T00:00:00,Mon,Easter Monday,false,
Azerbaijan,2014-05-09T00:00:00,Fri,Victory Day,false,
Azerbaijan,2014-05-28T00:00:00,Wed,Republic Day,false,
Azerbaijan,2014-06-15T00:00:00,Sun,National Day of Salvation,false,
Azerbaijan,2014-06-16T00:00:00,Mon,Salvation Day Holiday,false,
Azerbaijan,2014-06-26T00:00:00,Thu,Armed Forces Day,false,
Azerbaijan,2014-07-28T00:00:00,Mon,Ramazan Bayram (End of Ramadan),false,
Azerbaijan,2014-07-29T00:00:00,Tue,Ramazan Bayram Holiday,false,
Azerbaijan,2014-10-04T00:00:00,Sat,Gurban Bayram (Feast of Sacrifice),false,
Azerbaijan,2014-10-05T00:00:00,Sun,Gurban Bayram Holiday,false,
Azerbaijan,2014-10-06T00:00:00,Mon,Gurban Bayram Holiday,false,
Azerbaijan,2014-10-07T00:00:00,Tue,Gurban Bayram Holiday,false,
Azerbaijan,2014-10-18T00:00:00,Sat,Independence Day,false,
Azerbaijan,2014-10-20T00:00:00,Mon,Independence Day Holiday,false,
Azerbaijan,2014-11-09T00:00:00,Sun,State Flag Day,false,
Azerbaijan,2014-11-10T00:00:00,Mon,State Flag Day Holiday,false,
Azerbaijan,2014-12-31T00:00:00,Wed,Solidarity Day of World Azerbaijanis,false,
Azerbaijan,2015-01-01T00:00:00,Thu,New Year's Day,false,
Azerbaijan,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Azerbaijan,2015-01-20T00:00:00,Tue,Day of National Mourning,false,
Azerbaijan,2015-03-08T00:00:00,Sun,Women's Day,false,
Azerbaijan,2015-03-09T00:00:00,Mon,Women's Day Holiday,false,
Azerbaijan,2015-03-20T00:00:00,Fri,Novruz Bairam (Persian New Year),false,
Azerbaijan,2015-03-21T00:00:00,Sat,Novruz Holiday,false,
Azerbaijan,2015-03-22T00:00:00,Sun,Novruz Holiday,false,
Azerbaijan,2015-03-23T00:00:00,Mon,Novruz Holiday,false,
Azerbaijan,2015-03-24T00:00:00,Tue,Novruz Holiday,false,
Azerbaijan,2015-03-25T00:00:00,Wed,Novruz Holiday (tentative),true,
Azerbaijan,2015-03-26T00:00:00,Thu,Novruz Holiday (tentative),true,
"Bahamas, The",2014-06-06T00:00:00,Fri,Labour Day / Sir Randol Fawkes Day,false,
"Bahamas, The",2014-06-09T00:00:00,Mon,Whit Monday,false,
"Bahamas, The",2014-07-10T00:00:00,Thu,Independence Day,false,
"Bahamas, The",2014-08-04T00:00:00,Mon,Emancipation Day,false,
"Bahamas, The",2014-10-12T00:00:00,Sun,National Heroes Day,false,
"Bahamas, The",2014-10-13T00:00:00,Mon,National Heroes Day Holiday,false,
"Bahamas, The",2014-12-25T00:00:00,Thu,Christmas Day,false,
"Bahamas, The",2014-12-26T00:00:00,Fri,Boxing Day,false,
"Bahamas, The",2015-01-01T00:00:00,Thu,New Year's Day,false,
"Bahamas, The",2015-01-12T00:00:00,Mon,Majority Rule Holiday (day in lieu),false,
"Bahamas, The",2015-04-03T00:00:00,Fri,Good Friday,false,
"Bahamas, The",2015-04-06T00:00:00,Mon,Easter Monday,false,
Bahrain,2014-05-01T00:00:00,Thu,Labour Day,false,
Bahrain,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Bahrain,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Bahrain,2014-07-30T00:00:00,Wed,Eid al Fitr Holiday,false,
Bahrain,2014-10-03T00:00:00,Fri,Arafat Day,true,Bnk+Gov
Bahrain,2014-10-04T00:00:00,Sat,Eid al Adha (Feast of Sacrifice),false,
Bahrain,2014-10-05T00:00:00,Sun,Eid al Adha Holiday,false,
Bahrain,2014-10-06T00:00:00,Mon,Eid al Adha Holiday,false,
Bahrain,2014-10-25T00:00:00,Sat,Islamic New Year,false,
Bahrain,2014-10-26T00:00:00,Sun,Islamic New Year Holiday (tentative),true,Bnk+Gov
Bahrain,2014-11-02T00:00:00,Sun,Ashura Holiday,false,
Bahrain,2014-11-03T00:00:00,Mon,Ashura,false,
Bahrain,2014-12-16T00:00:00,Tue,National Day,false,
Bahrain,2014-12-17T00:00:00,Wed,National Day Holiday,false,
Bahrain,2015-01-01T00:00:00,Thu,New Year's Day,false,
Bahrain,2015-01-03T00:00:00,Sat,The Prophet's Birthday,false,
Bahrain,2015-01-04T00:00:00,Sun,The Prophet's Birthday Holiday (tentative),true,Bnk+Gov
Bangladesh,2014-05-01T00:00:00,Thu,May Day,false,
Bangladesh,2014-05-13T00:00:00,Tue,Buddha Purnuma (Buddha Day),false,
Bangladesh,2014-06-14T00:00:00,Sat,Shab e-Barat (Night of Records),false,
Bangladesh,2014-07-01T00:00:00,Tue,July Bank Holiday,true,Banks
Bangladesh,2014-07-25T00:00:00,Fri,Jumatul Bidah,false,
Bangladesh,2014-07-26T00:00:00,Sat,Shab-e-Qadar (Night of Destiny),false,
Bangladesh,2014-07-28T00:00:00,Mon,Eid-ul-Fiter Holiday,false,
Bangladesh,2014-07-29T00:00:00,Tue,Eid-ul-Fiter (End of Ramadan),false,
Bangladesh,2014-07-30T00:00:00,Wed,Eid-ul-Fiter Holiday,false,
Bangladesh,2014-08-15T00:00:00,Fri,National Mourning Day,false,
Bangladesh,2014-08-17T00:00:00,Sun,Sri Krishna Janamashtami,false,
Bangladesh,2014-10-04T00:00:00,Sat,Durga Puja (Bijoya Dashami),false,
Bangladesh,2014-10-05T00:00:00,Sun,Eid-ul-Azha (Feast of Sacrifice),false,
Bangladesh,2014-10-06T00:00:00,Mon,Eid-ul-Azha Holiday,false,
Bangladesh,2014-10-07T00:00:00,Tue,Eid-ul-Azha Holiday,false,
Bangladesh,2014-11-04T00:00:00,Tue,Ashura (Muharrum),false,
Bangladesh,2014-12-16T00:00:00,Tue,Bijoy Dibosh (Victory Day),false,
Bangladesh,2014-12-25T00:00:00,Thu,Christmas Day,false,
Bangladesh,2014-12-31T00:00:00,Wed,New Year's Eve Bank Holiday,true,Banks
Bangladesh,2015-01-01T00:00:00,Thu,New Year's Day (optional holiday),true,Other
Bangladesh,2015-01-04T00:00:00,Sun,Eid-e-Milad-un Nabi (The Prophet's Birthday),false,
Bangladesh,2015-02-21T00:00:00,Sat,Shahid Dibosh (International Mother Language Day),false,
Bangladesh,2015-03-17T00:00:00,Tue,Sheikh Mujibur Rahman's Birth Anniversary,false,
Bangladesh,2015-03-26T00:00:00,Thu,Independence Day (National Day),false,
Bangladesh,2015-04-14T00:00:00,Tue,Pahela Baishakh (Bangla New Year),false,
Barbados,2014-05-01T00:00:00,Thu,Labour Day,false,
Barbados,2014-06-09T00:00:00,Mon,Whit Monday,false,
Barbados,2014-08-01T00:00:00,Fri,Emancipation Day,false,
Barbados,2014-08-04T00:00:00,Mon,Kadooment Day,false,
Barbados,2014-11-30T00:00:00,Sun,Independence Day,false,
Barbados,2014-12-01T00:00:00,Mon,Independence Day Holiday,false,
Barbados,2014-12-25T00:00:00,Thu,Christmas Day,false,
Barbados,2014-12-26T00:00:00,Fri,Boxing Day,false,
Barbados,2015-01-01T00:00:00,Thu,New Year's Day,false,
Barbados,2015-01-21T00:00:00,Wed,Errol Barrow Day,false,
Barbados,2015-04-03T00:00:00,Fri,Good Friday,false,
Barbados,2015-04-06T00:00:00,Mon,Easter Monday,false,
Barbados,2015-04-28T00:00:00,Tue,National Heroes' Day,false,
Belarus,2014-05-01T00:00:00,Thu,Labour Day,false,
Belarus,2014-05-09T00:00:00,Fri,Victory Day,false,
Belarus,2014-07-03T00:00:00,Thu,Independence Day,false,
Belarus,2014-07-04T00:00:00,Fri,Public Holiday (workday moved to Sat.July 12),false,
Belarus,2014-11-07T00:00:00,Fri,October Revolution Day,false,
Belarus,2014-12-25T00:00:00,Thu,Catholic Christmas,false,
Belarus,2014-12-26T00:00:00,Fri,Catholic Christmas Holiday (workday moved to Sat. Dec. 20),false,
Belarus,2015-01-01T00:00:00,Thu,New Year's Day,false,
Belarus,2015-01-07T00:00:00,Wed,Orthodox Christmas,false,
Belarus,2015-03-08T00:00:00,Sun,Women's Day,false,
Belarus,2015-04-21T00:00:00,Tue,Radunitsa (Ancestors Veneration Day),false,
Belgium,2014-05-01T00:00:00,Thu,May Day,false,
Belgium,2014-05-08T00:00:00,Thu,F��te de l'iris (Brussels Region Day),true,Mun+Gov
Belgium,2014-05-29T00:00:00,Thu,Ascension Day,false,
Belgium,2014-05-30T00:00:00,Fri,Ascension Friday,true,Banks
Belgium,2014-06-09T00:00:00,Mon,Whit Monday,false,
Belgium,2014-07-11T00:00:00,Fri,Flemish Community Day,true,Reg+Gov+Lin
