,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
34,2161180,7,0.857142857143,866,0.0173&&8.5531&&2.9920&&0.0076&&169.0442&&,0.6,0.0,3,6,0,1208.5,0.333333333333,0
35,2081751,10,0.6,504,11.1604&&34.9135&&0.0007&&24.0484&&35.0349&&,0.2,100.0,0,6,0,1350.0,0.0,0
36,2047992,4,1.25,1232,0.0380&&205.0720&&0.2650&&0.0380&&,0.75,100.0,0,5,0,1599.8,0.4,0
37,2012790,9,0.777777777778,808,0.0106&&42.0279&&0.0080&&0.0108&&114.9727&&45.0364&&,0.5,0.0,4,7,2,3221.71428571,0.0,0
38,2099380,33,0.30303030303,56,9.9977&&0.3690&&0.0085&&1.0424&&0.6782&&0.0000&&2.4865&&1.8168&&4.8025&&,0.777777777778,50.0,3,10,0,1495.5,0.3,0
39,2044709,9,0.666666666667,455,3.2131&&19.9490&&31.9631&&35.8312&&4.0005&&,0.2,83.3333333333,1,6,0,1187.33333333,0.0,0
40,2029912,12,1.16666666667,278,2.8998&&0.0111&&36.1124&&0.9202&&11.3181&&0.0055&&3.9783&&0.0001&&0.0198&&31.6882&&41.3322&&0.0067&&22.6538&&,0.615384615385,85.7142857143,2,14,0,1404.07142857,0.0714285714286,0
41,2188994,23,0.391304347826,548,20.7951&&8.0737&&21.2161&&58.7027&&0.0007&&0.0010&&0.0007&&73.8981&&,0.375,0.0,6,9,0,2268.44444444,0.0,0
42,2128527,52,0.346153846154,253,0.5639&&3.0877&&28.0466&&4.8574&&1.1283&&18.9245&&21.1409&&46.2077&&17.7250&&3.0130&&1.0456&&1.8441&&0.0238&&18.1999&&6.9299&&3.2389&&3.8042&&,0.529411764706,11.1111111111,13,18,1,1437.0,0.333333333333,0
43,2098432,50,0.16,627,0.3705&&0.6098&&0.2636&&45.8983&&0.8211&&0.1539&&134.9220&&,0.714285714286,0.0,5,8,3,3710.875,0.0,2
44,2150307,29,0.48275862069,330,3.0743&&52.9678&&0.0030&&21.1149&&0.0049&&46.0608&&4.2483&&37.7689&&6.9305&&0.0019&&2.8421&&0.1976&&3.9995&&,0.538461538462,7.14285714286,8,14,0,1947.07142857,0.0,0
45,2120603,4,2.0,26,0.0012&&0.0134&&0.0023&&0.0044&&6.5711&&0.0029&&1.2542&&,0.857142857143,62.5,2,8,0,2304.375,0.0,0
46,2020834,8,0.75,511,13.8868&&49.7765&&35.1151&&7.8080&&0.0062&&,0.2,50.0,3,6,0,1396.33333333,0.0,0
47,2179681,8,1.0,68,0.0112&&17.8885&&0.0025&&0.0043&&0.0097&&0.0015&&2.0641&&,0.857142857143,12.5,2,8,0,2285.625,0.0,0
48,2091920,28,0.357142857143,406,12.7038&&0.0458&&0.0167&&56.9837&&58.9255&&3.0819&&18.8141&&0.1780&&1.7573&&,0.555555555556,90.0,1,10,0,998.0,0.3,0
49,2049025,8,0.625,1076,0.0225&&0.0545&&0.0015&&179.2651&&,0.75,0.0,3,5,0,2120.4,0.2,0
50,2053485,20,0.65,344,3.8952&&0.4975&&15.7718&&0.1109&&8.8419&&0.8713&&16.3753&&11.8818&&13.8352&&28.0221&&68.8962&&3.2023&&,0.416666666667,100.0,0,13,0,3502.61538462,0.0,0
51,2065897,5,1.2,922,7.2045&&0.1081&&13.8951&&171.0367&&0.0389&&,0.4,0.0,4,6,0,1176.83333333,0.5,0
52,2096442,9,1.0,579,0.0384&&18.2502&&0.0049&&0.0148&&173.6497&&0.0040&&0.0215&&1.0593&&,0.75,33.3333333333,2,9,1,2152.55555556,0.0,0
53,2051992,11,1.54545454545,108,0.0012&&0.0063&&1.9979&&0.0009&&0.0051&&0.0013&&6.9923&&0.0026&&0.0044&&0.0041&&0.0006&&0.0015&&54.0486&&8.9758&&0.0011&&0.0161&&,0.8125,100.0,0,17,0,1345.11764706,0.0588235294118,0
54,2057448,31,0.451612903226,249,0.1583&&15.7708&&5.9447&&23.0779&&13.1204&&20.0526&&1.8092&&0.1074&&0.0801&&0.0056&&3.8523&&21.9765&&29.0393&&,0.461538461538,42.8571428571,5,14,3,3047.28571429,0.0714285714286,0
55,2087867,14,0.357142857143,827,4.9693&&8.8871&&27.9211&&96.1905&&,0.0,80.0,1,5,1,1132.6,0.2,0
56,2074162,29,0.206896551724,651,1.0195&&120.0219&&0.8934&&0.0862&&13.7346&&,0.6,50.0,3,6,2,1176.66666667,0.0,0
57,2024818,34,0.205882352941,340,57.0005&&13.2168&&0.0252&&2.1990&&4.8224&&7.8139&&,0.333333333333,42.8571428571,3,7,0,1385.71428571,0.571428571429,0
58,2152820,45,0.755555555556,122,27.9267&&25.0257&&0.0003&&0.0319&&0.1067&&30.9726&&0.8523&&0.0251&&4.0909&&29.9298&&0.0789&&0.0280&&0.9091&&0.0503&&9.8258&&7.1485&&8.9570&&0.0809&&0.7776&&0.0913&&0.0255&&0.0417&&7.8735&&0.0532&&0.0405&&0.0345&&9.8152&&3.0476&&0.0056&&0.0216&&0.0043&&0.0050&&0.0319&&,0.69696969697,100.0,0,34,0,3195.82352941,0.352941176471,0
59,2063294,15,0.333333333333,647,15.8908&&0.0823&&22.0475&&69.8850&&,0.25,20.0,3,5,0,934.0,0.4,0
60,2213109,3,2.33333333333,8,1.8302&&0.0015&&0.0363&&0.0261&&0.0021&&0.1152&&,1.0,100.0,0,7,0,1356.42857143,0.0,0
61,2068178,7,1.0,443,20.0471&&49.7634&&1.6006&&0.0090&&5.4908&&34.0016&&,0.333333333333,42.8571428571,4,7,2,1772.14285714,0.0,0
62,2093329,4,1.25,1140,67.0177&&123.0891&&0.0056&&0.0045&&,0.5,100.0,0,5,0,823.4,0.6,0
63,2008342,16,0.3125,345,6.7363&&2.1103&&29.2120&&19.5864&&,0.25,60.0,2,5,0,1030.0,0.4,0
64,2110816,29,0.448275862069,338,12.0077&&14.0772&&22.0806&&7.9602&&33.0315&&0.0147&&55.9738&&0.9075&&1.0673&&3.0214&&0.0321&&18.9958&&,0.416666666667,92.3076923077,1,13,0,1130.46153846,0.307692307692,0
65,2172532,14,1.0,217,0.0192&&3.9064&&0.0026&&0.0010&&16.7488&&0.2687&&60.7477&&3.9312&&1.1219&&3.9870&&0.0125&&0.0063&&26.9400&&,0.769230769231,14.2857142857,8,14,0,1411.21428571,0.0,2
66,2079757,12,0.666666666667,37,0.0291&&0.0063&&4.8037&&0.2872&&0.9097&&4.8547&&0.0075&&,0.714285714286,0.0,3,8,0,1583.25,0.0,0
67,2072449,24,0.708333333333,266,78.6010&&7.0232&&0.0034&&0.0242&&0.0064&&0.7820&&3.1504&&0.0326&&0.9609&&2.8237&&8.6396&&16.3604&&33.5786&&4.3218&&6.5909&&14.4731&&,0.5,100.0,0,17,0,2084.05882353,0.470588235294,0
68,2124491,38,0.894736842105,138,8.0077&&0.0074&&0.0134&&0.0004&&0.7834&&3.8839&&16.2492&&26.7605&&0.0803&&8.9899&&5.0728&&1.0900&&14.8266&&3.0833&&0.0269&&0.0113&&0.1000&&2.6993&&0.2128&&0.0830&&0.7593&&6.2299&&7.7537&&3.9961&&13.1444&&53.0283&&3.9719&&0.1058&&0.0014&&8.6933&&0.0065&&1.0764&&0.1737&&,0.666666666667,100.0,0,34,0,1061.38235294,0.529411764706,0
69,2090904,17,0.352941176471,831,3.0917&&6.9479&&109.1145&&37.9968&&16.0086&&,0.2,0.0,5,6,1,1774.0,0.0,0
70,2112932,31,0.548387096774,240,0.4344&&15.6738&&0.0819&&0.0978&&11.1159&&0.0019&&0.0229&&0.0023&&0.0111&&22.8016&&63.1670&&35.4946&&8.0647&&0.0035&&3.1497&&0.0265&&,0.625,88.2352941176,2,17,1,1058.11764706,0.294117647059,0
71,2045195,51,0.21568627451,465,1.8773&&73.1084&&1.0351&&26.7983&&3.1614&&12.1527&&35.9666&&7.8978&&5.0353&&26.8426&&,0.3,63.6363636364,4,11,1,2028.63636364,0.0,2
72,2156700,6,0.833333333333,1108,0.9399&&20.0542&&1.4040&&162.4198&&,0.5,100.0,0,5,0,1350.0,0.0,0
73,2017174,3,2.0,787,0.5817&&0.0123&&0.5057&&162.9027&&0.0139&&,0.8,50.0,1,6,1,893.666666667,0.5,0
74,2084632,20,0.4,651,0.0050&&175.1304&&5.8953&&7.9415&&0.0035&&0.0026&&1.1578&&,0.571428571429,62.5,3,8,0,1698.0,0.125,0
75,2208590,10,0.5,985,43.1901&&7.8072&&7.9401&&105.2968&&,0.0,80.0,1,5,0,1288.4,0.4,0
