,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
38,2406348,6,0.833333333333,136,0.0029&&0.9689&&20.0179&&1.8195&&,0.75,80.0,1,5,0,1640.0,0.0,0
39,2352861,3,1.66666666667,31,0.0327&&0.0474&&4.9753&&0.1288&&,0.75,40.0,2,5,0,1248.8,0.4,0
40,2261070,8,0.625,78,0.0544&&6.8772&&0.0017&&6.1928&&,0.5,0.0,2,5,0,1040.2,0.6,0
41,2363694,6,0.833333333333,61,4.9500&&0.2482&&0.0202&&4.9794&&,0.5,100.0,0,5,0,1350.0,0.0,0
42,2297278,9,0.777777777778,51,12.7195&&0.0011&&0.0006&&0.1252&&0.1145&&0.0002&&,0.833333333333,0.0,3,7,1,2457.71428571,0.0,0
43,2249618,16,0.625,76,0.8818&&14.9231&&0.2465&&5.7830&&0.2142&&3.9968&&1.0008&&0.8372&&0.9189&&,0.777777777778,0.0,6,10,0,1049.5,0.6,0
44,2385751,3,3.0,41,0.0041&&0.5940&&1.2037&&0.0332&&1.7388&&0.0643&&0.3806&&9.8257&&,0.875,77.7777777778,2,9,0,1563.44444444,0.0,0
45,2246424,15,0.4,48,5.7856&&0.1212&&0.0123&&2.1705&&2.0733&&,0.8,16.6666666667,3,6,0,1335.83333333,0.333333333333,0
46,2302449,2,2.5,156,0.0107&&0.0501&&0.0052&&26.0212&&,0.75,0.0,3,5,0,2534.6,0.0,0
47,2234448,3,1.66666666667,37,0.0134&&0.0059&&6.2930&&0.0041&&,0.75,100.0,0,5,0,1889.8,0.0,0
48,2423530,15,0.333333333333,83,0.0030&&0.0011&&13.9403&&0.0040&&,0.75,40.0,3,5,0,1138.4,0.2,0
49,2378215,6,1.66666666667,147,0.0088&&0.0061&&0.6445&&0.5629&&0.0017&&53.9714&&0.0035&&0.0878&&0.0015&&,0.888888888889,100.0,0,10,0,1323.1,0.1,0
50,2372206,7,0.857142857143,20,0.0022&&0.2772&&0.0081&&3.9111&&0.0885&&,1.0,0.0,3,6,1,3251.66666667,0.0,0
51,2424204,3,1.66666666667,0,0.0016&&0.0036&&0.0012&&0.0015&&,1.0,20.0,3,5,0,1216.0,0.0,0
52,2341405,7,2.0,30,0.0103&&0.0091&&0.0087&&0.0538&&6.7022&&0.0419&&0.0177&&0.0337&&0.0205&&4.0096&&0.0412&&0.0048&&5.7811&&,0.769230769231,14.2857142857,7,14,0,2268.85714286,0.0,0
53,2399514,8,0.875,36,0.0208&&0.0175&&0.9355&&1.9754&&6.2231&&0.0298&&,0.833333333333,100.0,0,7,0,1359.42857143,0.0,0
54,2218230,4,1.25,114,0.0159&&8.4355&&2.9962&&7.6173&&,0.5,0.0,3,5,2,1653.8,0.0,0
55,2395446,3,2.0,18,1.0356&&1.7379&&0.0042&&0.0231&&0.9728&&,1.0,0.0,1,6,0,2008.33333333,0.0,0
56,2337097,1,5.0,3,0.0435&&0.4974&&0.0172&&0.0068&&,1.0,0.0,2,5,0,2059.0,0.0,0
57,2333737,2,2.5,13,2.1798&&0.0380&&0.0238&&0.0761&&,1.0,0.0,1,5,0,1370.4,0.0,0
58,2302402,7,0.857142857143,201,1.9570&&20.0150&&14.0085&&5.9760&&0.0315&&,0.4,83.3333333333,1,6,0,1943.83333333,0.0,0
59,2279005,8,1.75,40,1.8680&&0.0150&&2.2350&&0.0074&&0.0025&&2.0554&&0.0377&&0.7817&&0.1285&&0.0442&&9.9449&&0.0355&&5.0423&&,0.846153846154,7.14285714286,4,14,0,1654.21428571,0.142857142857,0
60,2297473,10,1.1,140,0.0132&&0.0125&&0.0557&&7.4623&&0.0019&&1.9314&&2.4370&&11.6178&&34.9878&&0.0027&&,0.7,81.8181818182,2,11,0,1292.72727273,0.0,0
61,2387476,2,2.5,0,0.0001&&0.0498&&0.0075&&0.0721&&,1.0,60.0,1,5,0,1221.6,0.2,0
62,2396546,6,1.5,39,0.0025&&0.0094&&1.0008&&1.0007&&6.0217&&5.1606&&0.0023&&0.0155&&,0.75,0.0,1,9,0,1603.77777778,0.0,0
63,2378672,7,0.857142857143,129,4.1208&&0.0208&&1.8057&&0.0326&&20.9660&&,0.6,50.0,2,6,0,1410.83333333,0.0,0
64,2410058,7,1.0,95,0.0059&&10.0282&&2.9549&&0.0050&&9.9705&&1.0244&&,0.666666666667,0.0,3,7,0,2340.42857143,0.0,0
65,2424281,2,2.5,18,0.0011&&2.8200&&0.0321&&0.2043&&,1.0,40.0,2,5,0,1860.8,0.0,0
66,2234347,5,1.8,6,1.0377&&0.0012&&0.1017&&0.0006&&0.5561&&0.1036&&0.1690&&0.0813&&,1.0,11.1111111111,1,9,0,1169.44444444,0.0,0
67,2314473,3,2.33333333333,19,0.0143&&4.7125&&0.0094&&0.1168&&0.0680&&0.0013&&,0.833333333333,42.8571428571,4,7,0,1162.57142857,0.142857142857,0
