,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
22,2262578,109,0.256880733945,144,33.7382&&0.0684&&0.0175&&0.2714&&0.2339&&5.6021&&0.0114&&9.6949&&1.0206&&10.9420&&3.1733&&0.0104&&28.0353&&9.9591&&17.0727&&5.9750&&0.1895&&2.0101&&0.9544&&0.0032&&1.9759&&1.6295&&0.3042&&1.9814&&0.0386&&0.0196&&27.9353&&,0.666666666667,28.5714285714,6,28,0,1285.5,0.642857142857,0
23,2249889,7,0.857142857143,742,0.2334&&50.4223&&0.0256&&0.0855&&103.9078&&,0.6,16.6666666667,3,6,0,1603.66666667,0.333333333333,0
24,2293347,10,0.8,486,19.9575&&41.9975&&8.0944&&32.5528&&0.0413&&0.0161&&39.2870&&,0.285714285714,100.0,0,8,0,808.0,0.875,0
25,2325230,12,0.5,292,13.8656&&1.4213&&0.0358&&0.0291&&45.6590&&,0.6,66.6666666667,2,6,0,988.666666667,0.166666666667,0
26,2280618,35,1.0,32,0.0219&&0.1484&&0.0179&&0.0008&&0.0007&&0.7046&&0.2926&&5.8039&&9.5817&&0.0644&&0.3760&&0.0055&&0.0105&&0.0223&&5.7351&&5.8640&&2.0070&&2.9916&&6.3657&&0.0085&&0.0633&&0.0347&&0.0165&&1.6255&&0.0303&&1.1106&&0.0190&&1.9109&&0.1840&&0.5570&&0.0040&&0.0039&&0.1000&&0.3100&&,0.852941176471,0.0,18,35,2,1256.6,0.0857142857143,0
27,2414115,14,0.642857142857,209,0.0112&&14.9482&&0.6954&&18.1661&&1.9807&&20.7383&&11.9628&&1.4703&&,0.5,0.0,4,9,0,1162.88888889,0.666666666667,0
28,2384370,6,1.33333333333,530,0.0038&&0.0203&&2.7884&&1.8924&&0.0216&&150.0843&&0.0329&&,0.857142857143,37.5,3,8,0,1460.75,0.0,0
29,2224727,15,0.4,595,0.0004&&2.9873&&10.1901&&0.0151&&110.9013&&,0.6,50.0,1,6,0,2391.66666667,0.0,0
30,2259957,9,0.777777777778,340,0.0067&&12.0184&&0.0986&&14.9999&&0.0125&&57.8970&&,0.5,28.5714285714,4,7,0,1468.28571429,0.142857142857,0
31,2223145,19,1.78947368421,123,0.0140&&3.1503&&0.0011&&15.5581&&17.0610&&0.9253&&0.0045&&0.1470&&0.0558&&7.7969&&0.0441&&0.0214&&0.0773&&0.0415&&0.9899&&0.0031&&0.1947&&0.0828&&0.0231&&0.0176&&0.4936&&0.0199&&0.0917&&0.0370&&0.0876&&0.1158&&0.0219&&0.0511&&3.6620&&0.8724&&62.2024&&53.0681&&2.8507&&,0.848484848485,17.6470588235,10,34,0,3021.70588235,0.0294117647059,0
